Date,FY,Period,Entity,Department,Category,Account,CostType,DataType,Amount,Currency
2025-05-31,FY25,2025-05,UK,Sales,Cost of Sales,5xxx,Direct,Budget,56851.2,GBP
2025-05-31,FY25,2025-05,UK,Sales,Cost of Sales,5xxx,Direct,Actual,57371.87,GBP
2025-05-31,FY25,2025-05,UK,Marketing,Cost of Sales,5xxx,Direct,Budget,8121.6,GBP
2025-05-31,FY25,2025-05,UK,Marketing,Cost of Sales,5xxx,Direct,Actual,8195.98,GBP
2025-05-31,FY25,2025-05,UK,Customer Success,Cost of Sales,5xxx,Direct,Budget,24364.8,GBP
2025-05-31,FY25,2025-05,UK,Customer Success,Cost of Sales,5xxx,Direct,Actual,24587.95,GBP
2025-05-31,FY25,2025-05,UK,Product,Cost of Sales,5xxx,Direct,Budget,16243.2,GBP
2025-05-31,FY25,2025-05,UK,Product,Cost of Sales,5xxx,Direct,Actual,16391.96,GBP
2025-05-31,FY25,2025-05,UK,Engineering,Cost of Sales,5xxx,Direct,Budget,24364.8,GBP
2025-05-31,FY25,2025-05,UK,Engineering,Cost of Sales,5xxx,Direct,Actual,24587.95,GBP
2025-05-31,FY25,2025-05,UK,IT Ops,Cost of Sales,5xxx,Direct,Budget,11370.24,GBP
2025-05-31,FY25,2025-05,UK,IT Ops,Cost of Sales,5xxx,Direct,Actual,11474.37,GBP
2025-05-31,FY25,2025-05,UK,Finance,Cost of Sales,5xxx,Direct,Budget,12994.56,GBP
2025-05-31,FY25,2025-05,UK,Finance,Cost of Sales,5xxx,Direct,Actual,13113.57,GBP
2025-05-31,FY25,2025-05,UK,HR,Cost of Sales,5xxx,Direct,Budget,8121.6,GBP
2025-05-31,FY25,2025-05,UK,HR,Cost of Sales,5xxx,Direct,Actual,8195.98,GBP
2025-05-31,FY25,2025-05,UK,Sales,Marketing,5xxx,Indirect,Budget,37900.8,GBP
2025-05-31,FY25,2025-05,UK,Sales,Marketing,5xxx,Indirect,Actual,36859.73,GBP
2025-05-31,FY25,2025-05,UK,Marketing,Marketing,5xxx,Indirect,Budget,5414.4,GBP
2025-05-31,FY25,2025-05,UK,Marketing,Marketing,5xxx,Indirect,Actual,5265.68,GBP
2025-05-31,FY25,2025-05,UK,Customer Success,Marketing,5xxx,Indirect,Budget,16243.2,GBP
2025-05-31,FY25,2025-05,UK,Customer Success,Marketing,5xxx,Indirect,Actual,15797.03,GBP
2025-05-31,FY25,2025-05,UK,Product,Marketing,5xxx,Indirect,Budget,10828.8,GBP
2025-05-31,FY25,2025-05,UK,Product,Marketing,5xxx,Indirect,Actual,10531.35,GBP
2025-05-31,FY25,2025-05,UK,Engineering,Marketing,5xxx,Indirect,Budget,16243.2,GBP
2025-05-31,FY25,2025-05,UK,Engineering,Marketing,5xxx,Indirect,Actual,15797.03,GBP
2025-05-31,FY25,2025-05,UK,IT Ops,Marketing,5xxx,Indirect,Budget,7580.16,GBP
2025-05-31,FY25,2025-05,UK,IT Ops,Marketing,5xxx,Indirect,Actual,7371.95,GBP
2025-05-31,FY25,2025-05,UK,Finance,Marketing,5xxx,Indirect,Budget,8663.04,GBP
2025-05-31,FY25,2025-05,UK,Finance,Marketing,5xxx,Indirect,Actual,8425.08,GBP
2025-05-31,FY25,2025-05,UK,HR,Marketing,5xxx,Indirect,Budget,5414.4,GBP
2025-05-31,FY25,2025-05,UK,HR,Marketing,5xxx,Indirect,Actual,5265.68,GBP
2025-05-31,FY25,2025-05,UK,Sales,IT Services,5xxx,Indirect,Budget,12633.6,GBP
2025-05-31,FY25,2025-05,UK,Sales,IT Services,5xxx,Indirect,Actual,12879.05,GBP
2025-05-31,FY25,2025-05,UK,Marketing,IT Services,5xxx,Indirect,Budget,1804.8,GBP
2025-05-31,FY25,2025-05,UK,Marketing,IT Services,5xxx,Indirect,Actual,1839.86,GBP
2025-05-31,FY25,2025-05,UK,Customer Success,IT Services,5xxx,Indirect,Budget,5414.4,GBP
2025-05-31,FY25,2025-05,UK,Customer Success,IT Services,5xxx,Indirect,Actual,5519.59,GBP
2025-05-31,FY25,2025-05,UK,Product,IT Services,5xxx,Indirect,Budget,3609.6,GBP
2025-05-31,FY25,2025-05,UK,Product,IT Services,5xxx,Indirect,Actual,3679.73,GBP
2025-05-31,FY25,2025-05,UK,Engineering,IT Services,5xxx,Indirect,Budget,5414.4,GBP
2025-05-31,FY25,2025-05,UK,Engineering,IT Services,5xxx,Indirect,Actual,5519.59,GBP
2025-05-31,FY25,2025-05,UK,IT Ops,IT Services,5xxx,Indirect,Budget,2526.72,GBP
2025-05-31,FY25,2025-05,UK,IT Ops,IT Services,5xxx,Indirect,Actual,2575.81,GBP
2025-05-31,FY25,2025-05,UK,Finance,IT Services,5xxx,Indirect,Budget,2887.68,GBP
2025-05-31,FY25,2025-05,UK,Finance,IT Services,5xxx,Indirect,Actual,2943.78,GBP
2025-05-31,FY25,2025-05,UK,HR,IT Services,5xxx,Indirect,Budget,1804.8,GBP
2025-05-31,FY25,2025-05,UK,HR,IT Services,5xxx,Indirect,Actual,1839.86,GBP
2025-05-31,FY25,2025-05,UK,Sales,Professional Services,5xxx,Direct,Budget,12633.6,GBP
2025-05-31,FY25,2025-05,UK,Sales,Professional Services,5xxx,Direct,Actual,12675.31,GBP
2025-05-31,FY25,2025-05,UK,Marketing,Professional Services,5xxx,Direct,Budget,1804.8,GBP
2025-05-31,FY25,2025-05,UK,Marketing,Professional Services,5xxx,Direct,Actual,1810.76,GBP
2025-05-31,FY25,2025-05,UK,Customer Success,Professional Services,5xxx,Direct,Budget,5414.4,GBP
2025-05-31,FY25,2025-05,UK,Customer Success,Professional Services,5xxx,Direct,Actual,5432.28,GBP
2025-05-31,FY25,2025-05,UK,Product,Professional Services,5xxx,Direct,Budget,3609.6,GBP
2025-05-31,FY25,2025-05,UK,Product,Professional Services,5xxx,Direct,Actual,3621.52,GBP
2025-05-31,FY25,2025-05,UK,Engineering,Professional Services,5xxx,Direct,Budget,5414.4,GBP
2025-05-31,FY25,2025-05,UK,Engineering,Professional Services,5xxx,Direct,Actual,5432.28,GBP
2025-05-31,FY25,2025-05,UK,IT Ops,Professional Services,5xxx,Direct,Budget,2526.72,GBP
2025-05-31,FY25,2025-05,UK,IT Ops,Professional Services,5xxx,Direct,Actual,2535.06,GBP
2025-05-31,FY25,2025-05,UK,Finance,Professional Services,5xxx,Direct,Budget,2887.68,GBP
2025-05-31,FY25,2025-05,UK,Finance,Professional Services,5xxx,Direct,Actual,2897.21,GBP
